名称,レア度,タイプ,主属性,副属性,攻撃,体力,回復,とっくん,出典,リダ攻倍率,倍率スキル,付与できる状態異常,スキル,リーダースキル,とくもり,きらめきオーラ
ティータイムのまぐろ,★6,こうげき,青,,2101,3621,250,なし,シート,3.0,,,フィールド上の好きな場所の色ぷよとハートBOXを8個までプリズムボールにぬりかえる,「すずらん」と青属性カードの攻撃力を3倍、体力を2.5倍にし、クエスト出発時1回のみフィールド上の色ぷよをランダムで5個ハートBOXに変える,,
ティータイムのまぐろ,★7,こうげき,青,,4812,8241,886,込み,シート,3.5,プリズム効果アップ×3.2,,フィールド上の好きな場所の色ぷよとハートBOXを11個までプリズムボールにぬりかえる,「すずらん」と青属性カードの攻撃力と体力を3.5倍にし、クエスト出発時1回のみフィールド上の色ぷよをランダムで5個ハートBOXに変える,プリズムボールを消した時の効果を3.2倍する,
ティータス,★6,バランス,赤,,3224,6058,1240,込み,シート,2.6,,,味方の全カードの攻撃力の合計×6倍で単体赤属性攻撃,スタメンのカードが副属性を含めた5色から1色減るごとに、赤属性の攻撃力倍率に0.4倍プラス 回復倍率に0.35倍プラス,,
ティ＆オー,★6,たいりょく,紫,黄,1800,4820,210,なし,シート,2.5,,,1ターンの間、味方全体をどの色の連鎖でも攻撃するようにする(通常攻撃のみ),味方全体の攻撃力を2.5倍、体力を2倍にし、さらに一度に消せるぷよ数を1個増やす,,
ティ＆オー,★7,たいりょく,紫,黄,3630,10994,763,込み,シート,3.0,,,1ターンの間、味方全体をどの色の連鎖でも攻撃するようにする(通常攻撃のみ),味方全体の攻撃力を3倍、体力を2.5倍にし、さらに一度に消せるぷよ数を2個増やす,,
テイルス,★6,バランス,黄,,1578,3656,861,なし,シート,2.0,,,フィールド上のむらさきぷよを 2つプリズムボールに変える,味方全体のバランスタイプの攻撃力が2倍、 回復力が1.8倍になる,,
テイルス,★7,バランス,黄,,3888,8684,1803,込み,シート,3.0,,,フィールド上のむらさきぷよをすべてプリズムボールに変える,バランスタイプの攻撃力と回復力を3倍にし、クエスト出発時1回のみフィールド上の色ぷよをランダムで3個チャンスぷよに変える,,
テニプリス,★5,バランス,,,,,,,シート,1.0,,,,,,
テニプリス/紫,★5,バランス,紫,,70,74,20,込み,シート,1.0,,,,,,
テニプリス/緑,★5,バランス,緑,,46,146,20,込み,シート,1.0,,,,,,
テニプリス/赤,★5,バランス,赤,,70,110,10,込み,シート,1.0,,,,,,
テニプリス/青,★5,バランス,青,,58,74,30,込み,シート,1.0,,,,,,
テニプリス/黄,★5,バランス,黄,,46,110,30,込み,シート,1.0,,,,,,
テュルキス,★6,こうげき,青,,2898,4685,630,込み,シート,1.8,,,3ターンの間、青属性カードが 「こうげき」×2の追加攻撃をする,攻撃タイプの攻撃力と体力が1.8倍になる,,
テラ,★6,バランス,赤,紫,2101,4332,406,なし,シート,2.5,盾破壊×3.0,,2ターンの間、赤色盾のダメージカット後のダメージを3倍にする (ただしダメージカット前のダメージを上限とする),赤属性カードの攻撃力を2.5倍、体力を2倍にし、3連鎖以上で1ターンの間、赤属性カードの受けるダメージを50%軽減する,,
テラ,★7,バランス,赤,紫,4497,9398,1128,込み,シート,3.5,盾破壊×4.2,,2ターンの間、赤色盾のダメージカット後のダメージを4.2倍にする(ただしダメージカット前のダメージを上限とする),赤属性カードの攻撃力を3.5倍、体力を2.5倍にし、3連鎖以上で1ターンの間、赤属性カードの受けるダメージを50%軽減する,なぞり消し数を2個増やす,
テラ ver.暁美ほむら,★6,たいりょく,紫,,3010,5230,230,なし,シート,3.5,攻撃エンハ×8.0,,2ターンの間、このカードとこのカードに隣接するカードの攻撃力を8倍にする さらに相手が状態異常の場合、状態異常のターン数を＋1する,味方全体の攻撃力を3.5倍、体力を3倍にし、通常攻撃時のみむらさきぷよを消した場合、味方全体のスキル発動ぷよ数を3個減らす さらに味方が相手に状態異常を付与する場合、その状態異常のターン数を＋1する,,
テラ ver.暁美ほむら,★7,たいりょく,紫,,5763,12291,990,込み,シート,4.5,攻撃エンハ×9.0,,2ターンの間、このカードとこのカードに隣接するカードの攻撃力を9倍にする さらに相手が状態異常の場合、状態異常のターン数を＋2する,味方全体の攻撃力を4.5倍、体力を3.5倍にし、通常攻撃時のみむらさきぷよを消した場合、味方全体のスキル発動ぷよ数を4個減らす さらに味方が相手に状態異常を付与する場合、その状態異常のターン数を＋1する,,
テン,★6,バランス,緑,,2070,4060,700,なし,シート,3.0,攻撃エンハ×7.0,,2ターンの間、このカードとこのカードに隣接するカードの攻撃力を7倍にする,味方全体の攻撃力と体力を3倍にし、通常攻撃時のみみどりぷよを4個消すごとにスキル発動ぷよ数を2個減らす,,
テン,★7,バランス,緑,,4702,9490,1625,込み,シート,3.5,攻撃エンハ×8.0,,2ターンの間、このカードとこのカードに隣接するカードの攻撃力を8倍にする さらに2ターンの間、ネクストぷよを全て「プラス状態」にする,味方全体の攻撃力と体力を3.5倍にし、通常攻撃時のみみどりぷよを4個消すごとにスキル発動ぷよ数を3個減らす,,
テンドリー,★6,こうげき,紫,,1846,2982,296,なし,シート,1.0,,,ランダム対象に「こうげき」×0.5の20連続属性攻撃,コンビネーション「にくきゅう」発生時、効果300%アップ,,
テンドリー,★7,こうげき,紫,,4353,6798,843,込み,シート,3.0,,,ランダム対象にこのカードの「こうげき」×9の20連続属性攻撃,「にくきゅう」の全能力値を3倍にする,,
ディアブロ,★6,こうげき,紫,赤,3960,6930,850,込み,Wiki,5.46,,,1ターンの間、なぞり消しの代わりにあおぷよにぬりかえる「とくべつルール」を発動し、味方全体の連鎖係数を6倍にする さらに「まもの」がデッキに2体以上存在する場合、倍率をさらに60％アップする このスキル発動後、ターン終了時まで他のスキルは発動できない,味方全体の攻撃力を4.2倍、体力を3.2倍、 回復力を1.5倍にし、通常攻撃時のみあおぷよを4個消すごとにスキル発動ぷよ数を2個減らす 青属性カードがデッキに1体以上存在する場合、 味方全体の攻撃力をさらに1.3倍にする,,
ディアブロ,★7,こうげき,紫,赤,6006,9887,1104,込み,Wiki,6.5,クリティカル倍率up(特盛)×1.4,,1ターンの間、なぞり消しの代わりにあおぷよにぬりかえる「とくべつルール」を発動し、味方全体の連鎖係数を7.5倍にする さらに「まもの」がデッキに2体以上存在する場合、倍率をさらに60％アップする このスキル発動後、ターン終了時まで他のスキルは発動できない,味方全体の攻撃力を5倍、体力を3.5倍、回復力を2倍にし、通常攻撃時のみあおぷよを4個消すごとにスキル発動ぷよ数を3個減らす 青属性カードがデッキに1体以上存在する場合、味方全体の攻撃力をさらに1.3倍にする,①2ターンの間、味方ターン終了時、ネクストぷよをランダムで2個チャンスぷよに変える ②味方全体のとくもりクリティカルのダメージアップ倍率をこのカードのとくもりクリティカルLv.×4％アップする （このとくもりスキルは重複可能）,
ディニ,★6,こうげき,赤,,2391,3197,301,なし,シート,3.25,n連鎖以上×1.3(LS時のみ),,3ターンの間、味方の赤属性カードに 緑属性のダメージを 90%カットする盾をつける,赤属性の攻撃力を2.5倍にし、さらに2連鎖以上で攻撃力1.3倍の タフネス貫通攻撃にする,,
ディニ,★7,こうげき,赤,,5225,7116,849,込み,シート,4.8,n連鎖以上×1.6,,3ターンの間、2連鎖以上で赤属性カードの攻撃力を4倍にする さらに3ターンの間、赤属性カードに緑属性のダメージを99％軽減する盾を付与する,赤属性カードの攻撃力を3倍にし、さらに2連鎖以上で攻撃力1.6倍のタフネス貫通攻撃にする,味方全体のとくもりクリティカルの発動率をこのカードのとくもりクリティカルLv.×10％アップする(このとくもりスキルは重複可能),
ディネルア,★6,たいりょく,緑,黄,2280,5400,320,なし,シート,4.2,指定属性被ダメアップ×4.5,,味方全体の状態異常を解除する 2ターンの間、相手全体が受ける緑、黄属性ダメージを4.5倍にし、3ターンの間、フィールド効果を「アダマスドロップ」にする,味方全体の攻撃力を4.2倍、体力を3.2倍にし、通常攻撃時のみきいろぷよを消した場合、味方全体のスキル発動ぷよ数を4個減らす さらに毎ターン、フィールド上の色ぷよをランダムで1個チャンスぷよに変える,,
ディネルア,★7,たいりょく,緑,黄,4828,12680,1132,込み,シート,5.2,指定属性被ダメアップ×5.5,,味方全体の状態異常を解除する 3ターンの間、相手全体が受ける緑、黄属性ダメージを5.5倍にし、3ターンの間、フィールド効果を「アダマスドロップ」にする,味方全体の攻撃力を5.2倍、体力を3.5倍にし、通常攻撃時のみきいろぷよを消した場合、味方全体のスキル発動ぷよ数を5個減らす さらに毎ターン、フィールド上の色ぷよをランダムで2個チャンスぷよに変える,①なぞり消し数を2個増やす ②クエスト出発時1回のみ5ターンの間、フィールド効果を「アダマスドロップ」にする,
ディートリヒ,★6,バランス,紫,,1628,3552,790,なし,シート,1.0,攻撃エンハ×3.0,,1ターンの間、このカードとこのカードに 隣接するカードの攻撃力が3倍になる,紫属性カードの体力を1.8倍にする,,
ディートリヒ,★7,バランス,紫,,3961,8528,1707,込み,シート,2.0,攻撃エンハ×4.0,,3ターンの間、このカードとこのカードに隣接するカードの攻撃力を4倍にする,紫属性カードの攻撃力を2倍、体力を3.5倍にする,,
ディーナ,★6,たいりょく,黄,,1590,4868,201,なし,シート,1.4,与ダメアップ(確率)×5.0(LS時のみ),麻痺×3,敵単体に「こうげき」×10の属性攻撃を与え、 さらに相手を5ターン「麻痺」状態にする,黄属性カードが相手に与えるダメージを10％の確率で5倍にする,,
ディーナ,★7,たいりょく,黄,,3346,11076,751,込み,シート,2.1,与ダメアップ(確率)×5.0(LS時のみ),麻痺×3,相手単体にこのカードの「こうげき」×15の 属性攻撃を与え、 5ターンの間、「麻痺」状態にする,黄属性カードの攻撃力を1.5倍、体力を2.5倍にし、 相手に与えるダメージを10％の確率で5倍にする,,
デバッグますたーのシグ,★6,こうげき,青,紫,2630,4280,300,なし,シート,3.8,被ダメアップ×4.0,,2ターンの間、相手全体が受けるダメージを4倍にする さらに2ターンの間、味方ターン終了時に味方全体の状態異常を解除する,味方全体の攻撃力を3.8倍、体力を3.2倍にし、なぞり消し数を2個増やす さらに通常攻撃時のみ同時消し係数を1.4倍にし、相手ターン終了時にフィールド上の色ぷよをランダムで4個「プラス状態」にする,,
デバッグますたーのシグ,★7,こうげき,青,紫,5958,9813,1068,込み,シート,4.8,被ダメアップ×5.0,,2ターンの間、相手全体が受けるダメージを5倍にする さらに3ターンの間、味方ターン終了時に味方全体の状態異常を解除する,味方全体の攻撃力を4.8倍、体力を3.5倍にし、なぞり消し数を3個増やす さらに通常攻撃時のみ同時消し係数を1.4倍にし、相手ターン終了時にフィールド上の色ぷよをランダムで5個「プラス状態」にする,,
デューキス,★6,バランス,紫,,1581,3682,707,なし,シート,1.0,,,フィールド上の紫以外の色ぷよを ランダムで1種類むらさきぷよにし、 その後の盤面にチャンスぷよを 3つ生成する,通常攻撃時のみ、「かいふく」×こうげきした属性数×0.3倍で 紫属性のカードが回復,,
デューキス,★7,バランス,紫,,3893,8723,1595,込み,シート,2.5,,,フィールド上の紫以外の色ぷよを ランダムで2種類むらさきぷよにし、 その後の盤面にチャンスぷよを 3個生成する,紫属性カードの攻撃力と体力を2.5倍にし、さらに「かいふく」×こうげきした属性数×0.3倍で紫属性のカードが回復,,
デーモンサーバント,★6,バランス,青,,1646,3799,878,なし,シート,3.0,,,デッキを左右に動かしてカード位置を 変更できるようにする,体力MAXの青属性カードの攻撃力が3倍になる,,
デーモンサーバント,★7,バランス,青,,4087,9099,1866,込み,シート,4.0,,,このカードのスキル発動ぷよ数を25個減らし、デッキを左右に動かしてカード位置を変更できるようにする,青属性カードの体力を3.5倍にし、体力MAX時に攻撃力を4倍にする,なぞり消し数を2個増やす,
デーモンサーバント ver.スウォルツ,★6,こうげき,紫,,2030,3580,240,なし,シート,2.6,攻撃エンハ×2.6,,1ターンの間、紫属性カードの攻撃力を2.6倍にし、フィールド上の好きな場所の色ぷよ、ハートBOX、おじゃまぷよ、かたぷよを6個までむらさきぷよにぬりかえる,紫属性カードの攻撃力を2.6倍、体力を2倍にし、クエスト開始時1回のみネクストぷよをすべてむらさきぷよに変える,,
デーモンサーバント ver.スウォルツ,★7,こうげき,紫,,4648,7681,774,込み,シート,3.2,攻撃エンハ×3.2,,1ターンの間、紫属性カードの攻撃力を3.2倍にし、フィールド上の好きな場所の色ぷよ、ハートBOX、おじゃまぷよ、かたぷよを8個までむらさきぷよにぬりかえる,紫属性カードの攻撃力を3.2倍、体力を2.5倍にし、クエスト開始時1回のみネクストぷよをすべてむらさきぷよに変える,,
トゥルム,★6,たいりょく,緑,,2248,6805,516,込み,シート,2.0,,,みどりぷよを2個 プリズムボールに変化させる,味方全体の緑属性の攻撃力が2倍になる,,
トゥール,★6,たいりょく,赤,,1300,5160,351,なし,シート,1.0,,,相手全体に、カード図鑑の数×150の 属性攻撃（上限300000）,コンビネーション「ガールズ」発生時、 効果300%アップ,,
トゥール,★7,たいりょく,赤,,2955,11572,953,込み,シート,3.0,,,相手全体に、カード図鑑の数×1500の 属性攻撃（上限9000000）,「ガールズ」の攻撃力と体力を3倍、回復力を2倍にする,,
トウゲン,★6,こうげき,紫,,2210,3480,266,なし,シート,3.75,盾破壊×3.2,,1ターンの間、紫属性盾のダメージカット後のダメージを3.2倍にする(ただしダメージカット前のダメージを上限とする),紫属性カードの攻撃力と体力を2.5倍にし、こうげきタイプの攻撃力をさらに1.5倍にする,,
トウゲン,★7,こうげき,紫,,4936,7533,806,込み,シート,3.5,盾破壊×3.8,,1ターンの間、紫属性盾のダメージカット後のダメージを3.8倍にする(ただしダメージカット前のダメージを上限とする),赤属性カードとこうげきタイプの攻撃力と体力を3.5倍にする,,
トト子 ver.アルル,★6,こうげき,青,,2914,4756,635,込み,シート,2.0,,,3ターンの間、このカードの通常攻撃を「こうげき」×1.5の2連続攻撃にする,青属性カードの攻撃力を2倍にし、毎ターン、青属性カードに「かいふく」×1の回復,,
トド松,★6,かいふく,赤,,2438,6218,1937,込み,シート,2.5,,,フィールド上のあおぷよ3個を プリズムボールに、あかぷよ3個を チャンスぷよに変える,スタメンのコンビネーション｢ボーイズ｣を持つ カードが1枚増えるごとに 全属性の体力と攻撃力の倍率に0.25倍プラス,,
トナカイエコロ,★6,バランス,黄,,1627,3884,919,なし,シート,3.5,,,フィールド上のあおぷよを6個ハートBOXに、 むらさきぷよを3個プリズムボールに変化させる,体力MAXの黄属性カードの攻撃力が3.5倍になる,,
トナカイエコロ,★7,バランス,黄,,4059,9226,1921,込み,シート,4.2,〇属性を含む攻撃×4.0,,フィールド上のあおぷよを8個ハートBOXに、むらさきぷよを8個プリズムボールに変える,味方全体の攻撃力を3倍、体力を3.5倍にし、体力MAX時に攻撃力を1.4倍にする,なぞり消し数を2個増やす,
トナカイシェゾ,★6,バランス,紫,,1683,3799,818,なし,シート,3.0,,,フィールドにあるハートBOXの数 ×30000の6連続属性攻撃,体力MAXの紫属性カードの攻撃力が3倍になる,,
トナカイシェゾ,★7,バランス,紫,,4141,9099,1785,込み,シート,4.0,,,ランダム対象にフィールド上のハートBOXの数×150000の12連続属性攻撃を与え、フィールドをリセットする,味方全体の体力を3倍、回復力を1.5倍にし、体力MAX時に攻撃力を4倍にする,味方ターン終了時、味方全体に最大体力の10%の回復,
トナカイパプリス,★5,バランス,黄,,70,110,10,込み,シート,1.0,,,,,,
トナカイユウ＆レイ,★6,かいふく,紫,,1021,4211,1649,なし,シート,1.0,,,ランダム対象にフィールドにあるハートBOXの数×35000の2連続無属性攻撃を与え、フィールドをリセットする,紫属性カードとかいふくタイプの体力が2.8倍、回復力が2.5倍になる,,
トナカイユウ＆レイ,★7,かいふく,紫,,2629,9138,3198,込み,シート,1.0,,,ランダム対象にフィールド上のハートBOXの数×350000の2連続無属性攻撃を与え、フィールドをリセットする,紫属性カードとかいふくタイプの体力を3.2倍、回復力を3.5倍にする,,
トバリ,★6,たいりょく,赤,緑,1979,5151,160,なし,シート,3.25,n属性以上の同時攻撃×1.3(LS時のみ),,ランダム対象に赤属性カードの「たいりょく」の合計×15の3連続属性攻撃を与え、1ターンの間、このカードが「混乱」状態になる,赤属性カードの攻撃力を2.5倍、体力を3倍にし、2属性以上の同時攻撃で赤属性カードの攻撃力をさらに1.3倍にする,,
トバリ,★7,たいりょく,赤,緑,4121,11657,796,込み,シート,3.5,n属性以上の同時攻撃×1.4(LS時のみ),,ランダム対象に赤属性カードの「たいりょく」の合計×20の3連続属性攻撃を与え、1ターンの間、このカードが「混乱」状態になる,赤属性カードの攻撃力を2.5倍、体力を3.5倍にし、2属性以上の同時攻撃で赤属性カードの攻撃力をさらに1.4倍にする,,
トパーズほたるいか,★4,かいふく,黄,,273,1144,501,込み,シート,1.0,,,味方全体にこのカードの「かいふく」 ×2の回復,,,
トラのすけ,★6,こうげき,黄,赤,2210,3700,266,なし,シート,3.0,n属性以上の同時攻撃×3.0,,2ターンの間、2属性以上の同時攻撃で味方全体の攻撃力を3倍にする さらに相手が状態異常の場合、状態異常のターン数を＋1する,味方全体の攻撃力を3倍、体力を2.5倍にし、 なぞり消し数を2個増やす さらにクエスト出発時味方の初回スキル発動ぷよ数を2減らす,,
トラのすけ,★7,こうげき,黄,赤,4936,7858,806,込み,シート,3.5,n属性以上の同時攻撃×3.5,,2ターンの間、2属性以上の同時攻撃で味方全体の攻撃力を3.5倍にする さらに相手が状態異常の場合、状態異常のターン数を＋1する,味方全体の攻撃力を3.5倍、体力を3倍にし、 なぞり消し数を3個増やす さらにクエスト出発時味方の初回スキル発動ぷよ数を3減らす,,
トラップ職人,★6,たいりょく,,,,,,,シート,3.45,与ダメアップ(確率)×4.5(LS時のみ),,3ターンの間、相手の○属性攻撃を 10倍にしてはねかえす,自属性カードが相手に与えるダメージを70％の確率で4.5倍にする,,
トラップ職人,★7,たいりょく,,,,,,,シート,3.8,与ダメアップ(確率)×5.0(LS時のみ),,3ターンの間、味方全体が相手の○属性攻撃を20倍にしてはねかえす さらに3ターンの間、フィールド上の色ぷよをランダムで2個チャンスぷよに変える,自属性カードの体力を3.2倍にし、相手に与えるダメージを70％の確率で5倍にする,,
トラヒコ,★6,こうげき,黄,,2138,2614,214,なし,シート,4.0,,,,味方の離脱したカードが1枚増えるごとに、 黄属性の攻撃力の倍率に0.5倍プラス(最大6枚),,
トラヒコ,★7,こうげき,黄,,4821,6256,742,込み,シート,5.2,,,,味方の離脱したカードが1枚増えるごとに、黄属性カードの攻撃力倍率に0.7倍プラス(最大6枚),,
トランプソルジャー,★5,たいりょく,青,,1851,4427,497,込み,シート,1.0,,,3ターンの間、味方全体が赤属性の相手からの攻撃を2倍にはねかえす,青属性カードの体力を2000アップ,,
トリオ・ザ・バンシー,★6,かいふく,紫,,849,3373,1440,なし,シート,1.0,,,相手全体に、自分の「かいふく」×6～9の 属性攻撃(発動ごとに威力ランダム),味方全体の回復タイプの体力が1.8倍になる,,
トリオ・ザ・バンシー,★7,かいふく,紫,,2388,7797,2864,込み,シート,1.0,攻撃エンハ×3.5,,相手全体にかいふくタイプの「かいふく」の合計×25の属性攻撃を与える その後3ターンの間、かいふくタイプの攻撃力と回復力を3.5倍にする,かいふくタイプの体力を3倍、回復力を3.5倍にする,かいふくタイプの回復力を2倍にする,
トルマリンほたるいか,★4,かいふく,緑,,273,1162,494,込み,シート,1.0,,,味方全体にこのカードの「かいふく」 ×2の回復,,,
トレンドガールニナちゃん,★6,かいふく,紫,,1450,3911,1620,なし,シート,3.5,,,相手単体にフィールド上のハートBOXの数×「ガールズ」と「はばたき」の「かいふく」の合計×5の属性攻撃を与え、フィールドをリセットする,「ガールズ」と「はばたき」の攻撃力を3.5倍、回復力を2倍にし、体力が0になっても1回のみ「最大体力の75％」で復活する,,
トレンドガールニナちゃん,★7,かいふく,紫,,3230,8658,3152,込み,シート,4.8,攻撃エンハ(特盛無条件)×2.0,,相手単体にフィールド上のハートBOXの数×「ガールズ」と「はばたき」の「かいふく」の合計×8の属性攻撃を与え、フィールドをリセットする,「ガールズ」と「はばたき」の攻撃力を4.8倍、回復力を2.5倍にし、体力が0になっても1回のみ「最大体力の75％」で復活する,味方全体の攻撃力を2倍、回復力を2倍にする,
トロピカルなルゴー・S,★6,こうげき,青,赤,3050,5040,570,込み,シート,3.0,,,2ターンの間、味方全体をかばい、さらにこのカード以外の青属性カードとこうげきタイプにこのカードの「かいふく」×3の回復,青属性カードとこうげきタイプの攻撃力を3倍にし、体力が0になっても1回のみ「体力１」で踏みとどまる,,
トワ,★6,バランス,赤,,2070,4060,700,なし,シート,3.0,,,3ターンの間、なぞり消し数を5個増やし、同時消し係数を5倍にする,味方全体の攻撃力と体力を3倍にし、通常攻撃時のみあかぷよを4個消すごとにスキル発動ぷよ数を2個減らす,,
トワ,★7,バランス,赤,,4702,9490,1625,込み,シート,3.5,,,3ターンの間、味方ターン終了時に味方全体のスキル発動ぷよ数を4個減らす さらに3ターンの間、なぞり消し数を5個増やし、同時消し係数を5倍にする,味方全体の攻撃力と体力を3.5倍にし、通常攻撃時のみあかぷよを4個消すごとにスキル発動ぷよ数を3個減らす,,
トーマス,★6,たいりょく,緑,,1464,5022,226,なし,シート,1.0,,,体力タイプカードが、最大体力×4で単体攻撃,体力の残り色に応じて体力タイプの攻撃力がUP （体力黄色時＋5000 体力赤色時＋10000）,,
トーマス,★7,たいりょく,緑,,3176,11337,785,込み,シート,1.0,,,相手単体にたいりょくタイプが「最大体力」×40の属性攻撃,たいりょくタイプの体力を3.5倍にし、クエスト出発時1回のみフィールド上の色ぷよをランダムで4個チャンスぷよに変える,,
ドグ,★6,バランス,赤,,2850,5910,1240,込み,シート,2.5,,,ランダム対象に赤属性カードとバランスタイプの「かいふく」の合計×8の5連続属性攻撃,赤属性カードとバランスタイプの攻撃力と体力を2.5倍にする,,
ドッペルキッチンのドッペルゲンガーアルル,★6,バランス,紫,赤,2360,4320,980,なし,シート,4.2,攻撃エンハ×7.5,,2ターンの間、このカードとこのカードに隣接するカードの攻撃力を5倍にする フィールド上のむらさきぷよの個数×5％倍率をアップし(最大50％)、1ターンの間、味方ターン終了時にこのカード以外のスキル発動ぷよ数を同じ個数分減らす(最大10個) さらにフィールド上のむらさきぷよをすべて消す,味方全体の攻撃力を4.2倍、体力を3.2倍にし、通常攻撃時のみむらさきぷよを消した場合、味方全体のスキル発動ぷよ数を4個減らす さらに毎ターン、フィールド上の色ぷよをランダムで1個チャンスぷよに変える,,
ドッペルキッチンのドッペルゲンガーアルル,★7,バランス,紫,赤,5172,9980,2023,込み,シート,5.2,攻撃エンハ×9.0,,2ターンの間、このカードとこのカードに隣接するカードの攻撃力を6倍にする フィールド上のむらさきぷよの個数×5％倍率をアップし(最大50％)、1ターンの間、味方ターン終了時にこのカード以外のスキル発動ぷよ数を同じ個数分減らす(最大10個) さらにフィールド上のむらさきぷよをすべて消す,味方全体の攻撃力を5.2倍、体力を3.5倍にし、通常攻撃時のみむらさきぷよを消した場合、味方全体のスキル発動ぷよ数を5個減らす さらに毎ターン、フィールド上の色ぷよをランダムで2個チャンスぷよに変える,①なぞり消し数を2個増やす ②相手から味方全体へのスキル発動ぷよ数増加を無効にする,
ドッペルゲンガーアルル,★6,バランス,赤,,1694,3530,705,なし,シート,1.0,,,フィールドにあるチャンスぷよの数 ×40000の全体属性攻撃,味方デッキでコンビネーションボーナス 発生時効果250%アップ,,
ドッペルゲンガーアルル,★7,バランス,赤,,4157,8695,1632,込み,シート,3.0,〇属性を含む攻撃×3.5,,相手全体にフィールド上のチャンスぷよの数×2400000の属性攻撃を与え、チャンスぷよをすべて元の色ぷよに戻す,「ナゾ多き」の全能力値を3倍にする,,
ドナ,★6,たいりょく,黄,,1483,5155,255,なし,シート,1.8,,,先頭から順に味方3体の 「◯◯」状態を解除する,体力タイプの攻撃力と体力が1.8倍になる,,
ドナ,★7,たいりょく,黄,,3202,11564,824,込み,シート,2.8,,,味方全体の状態異常を解除する,たいりょくタイプの攻撃力と体力を2.8倍にする,,
ドラえもん,★6,たいりょく,青,,1800,5000,250,なし,シート,2.5,,,1ターンの間、味方全体をどの色の連鎖でも攻撃するようにする(通常攻撃のみ),味方全体の攻撃力と体力を2.5倍にし、なぞり消し数を1個増やす さらに相手ターン終了時にフィールド上の色ぷよをランダムで1個「プラス状態」にする,,
ドラえもん,★7,たいりょく,青,,3880,11400,917,込み,シート,3.0,,,1ターンの間、味方全体をどの色の連鎖でも攻撃するようにする(通常攻撃のみ),味方全体の攻撃力と体力を3倍にし、なぞり消し数を2個増やす さらに相手ターン終了時にフィールド上の色ぷよをランダムで1個「プラス状態」にする,,
ドラえもん＆ぷよぷよ,★6,バランス,緑,,2850,6100,1180,込み,シート,1.8,,,1ターンの間、フィールド上の色ぷよをランダムで2個チャンスぷよに変える,味方全体の全能力値を1.8倍にする,,
ドラウド３世,★6,バランス,赤,,1353,2945,785,なし,シート,1.0,,,相手単体に、残り体力の15%にあたる ダメージを与える,味方の各カードが、体力が0になっても 1回のみ「１」で踏みとどまる,,
ドラウド３世,★7,バランス,赤,,3562,7618,1700,込み,シート,3.2,,,相手単体に残り体力の25％にあたる属性攻撃,味方全体の攻撃力と回復力を3.2倍にし、体力が0になっても1回のみ「体力1」で踏みとどまる,,
ドラコ ver.ぷよエヴァ,★6,こうげき,緑,,2122,3497,270,なし,シート,3.0,盾破壊×2.5,,1ターンの間、緑色盾のダメージカット後のダメージを2.5倍にする,緑属性カードの攻撃力が3倍、体力が2.5倍になる,,
ドラコ ver.ぷよエヴァ,★7,こうげき,緑,,4845,8058,911,込み,シート,3.5,盾破壊×3.5,,1ターンの間、緑色盾のダメージカット後のダメージを3.5倍にする (ただしダメージカット前のダメージを上限とする),緑属性カードの攻撃力を3.5倍、体力を3.2倍にする,,
ドラコ ver.ぷよクロ,★6,こうげき,緑,,3045,5501,617,込み,シート,1.4,,,フィールド上の緑以外の色ぷよを ランダムで3種類みどりぷよにする,味方全体の全能力値が1.4倍になる,,
ドラコ ver.ぷよテト2,★6,こうげき,緑,,2022,3706,282,なし,シート,2.5,,,フィールド上の色ぷよ、ハートBOXをランダムで5個プリズムボールに変え、色ぷよをすべてみどりぷよに変える,味方全体の攻撃力と体力を2.5倍にする,,
ドラコ ver.ぷよテト2,★7,こうげき,緑,,4636,7867,826,込み,シート,3.0,,,フィールド上の色ぷよ、ハートBOXをランダムで6個プリズムボールに変え、色ぷよをすべてみどりぷよに変える,味方全体の攻撃力と体力を3倍にする,,
ドラコ ver.アイ,★6,かいふく,緑,赤,2190,4320,2100,なし,シート,4.8,,,2ターンの間、味方全体の通常攻撃を「こうげき」×2の2連続攻撃にし、連続攻撃倍率をフィールド上の色ぷよの色数×7％アップする(最大35％まで) さらにフィールドをリセットし、その直後に落ちてくる色ぷよを連鎖のタネに変える,味方全体の攻撃力を4倍、体力を3.2倍、回復力を1.5倍にし、通常攻撃時のみみどりぷよを4個消すごとに味方全体のスキル発動ぷよ数を2個減らす クエスト中の累計ぷよ消し数が240個以上の場合、味方全体の攻撃力をさらに1.2倍にする,,
ドラコ ver.アイ,★7,かいふく,緑,赤,4816,10412,4060,込み,シート,5.76,攻撃エンハ(特盛体力MAX)×1.4,,2ターンの間、味方全体の通常攻撃を「こうげき」×2の2連続攻撃にし、連続攻撃倍率をフィールド上の色ぷよの色数×12％アップする(最大60％まで) さらにフィールドをリセットし、その直後に落ちてくる色ぷよを連鎖のタネに変える,味方全体の攻撃力を4.8倍、体力を3.5倍、回復力を2倍にし、通常攻撃時のみみどりぷよを4個消すごとに味方全体のスキル発動ぷよ数を3個減らす クエスト中の累計ぷよ消し数が240個以上の場合、味方全体の攻撃力をさらに1.2倍にする,①体力MAXの味方全体の攻撃力を1.4倍にする ②味方ターン終了時、味方全体に最大体力の10%の回復,
